date,currency_code,rate
2020-06-01,INR,75.5109751709248
2020-06-01,MXN,21.99712126664268
2020-06-01,SGD,1.4095897804965816
2020-06-01,USD,1.0
2020-07-01,AUD,1.4525
2020-07-01,CAD,1.358660714285714
2020-07-01,CLP,785.0
2020-07-01,EUR,0.8928571428571428
2020-07-01,GBP,0.8074107142857142
2020-07-01,INR,75.55535714285713
2020-07-01,MXN,22.946875
2020-07-01,SGD,1.395535714285714
2020-07-01,USD,1.0
2020-08-01,AUD,1.3916272788656312
2020-08-01,CAD,1.3418298446995274
2020-08-01,CLP,773.0
2020-08-01,EUR,0.8440243079000674
2020-08-01,GBP,0.7600692099932478
2020-08-01,INR,74.81051654287643
2020-08-01,MXN,22.179270762997973
2020-08-01,SGD,1.3711174881836596
2020-08-01,USD,1.0
2020-09-01,AUD,1.354967881872028
2020-09-01,CAD,1.3014098606824058
2020-09-01,CLP,776.0
2020-09-01,EUR,0.8342370901810294
2020-09-01,GBP,0.7422624509885709
2020-09-01,INR,72.9194126970885
2020-09-01,MXN,21.713356135813797
2020-09-01,SGD,1.357637440560607
2020-09-01,USD,1.0
2020-10-01,AUD,1.3886147038801906
2020-10-01,CAD,1.3287950987066033
2020-10-01,CLP,780.0
2020-10-01,EUR,0.8509189925119128
2020-10-01,GBP,0.7719792375765827
2020-10-01,INR,73.0322498298162
2020-10-01,MXN,21.84853641933288
2020-10-01,SGD,1.3618107556160655
2020-10-01,USD,1.0
2020-11-01,AUD,1.4158830569328091
2020-11-01,CAD,1.3297999658061208
2020-11-01,CLP,760.0
2020-11-01,EUR,0.8548469823901522
2020-11-01,GBP,0.7711403658745085
2020-11-01,INR,74.46700290647975
2020-11-01,MXN,21.235766797743203
2020-11-01,SGD,1.3636519063087706
2020-11-01,USD,1.0
2020-12-01,AUD,1.359792780748663
2020-12-01,CAD,1.2969585561497325
2020-12-01,CLP,730.0
2020-12-01,EUR,0.8355614973262031
2020-12-01,GBP,0.7503175133689839
2020-12-01,INR,73.65767045454544
2020-12-01,MXN,20.092329545454547
2020-12-01,SGD,1.3409090909090908
2020-12-01,USD,1.0
2021-01-01,AUD,1.2954119468665959
2021-01-01,CAD,1.2739793007904814
2021-01-01,CLP,723.32
2021-01-01,EUR,0.8149295085975062
2021-01-01,GBP,0.732646076114416
2021-01-01,INR,73.06698720560671
2021-01-01,MXN,19.897318881916714
2021-01-01,SGD,1.3216526770434356
2021-01-01,USD,1.0
2021-02-01,AUD,1.3100794438927508
2021-02-01,CAD,1.2805362462760677
2021-02-01,CLP,722.03
2021-02-01,EUR,0.8275405494869249
2021-02-01,GBP,0.7298907646474678
2021-02-01,INR,73.10906984442238
2021-02-01,MXN,20.287735849056606
2021-02-01,SGD,1.3316782522343595
2021-02-01,USD,1.0
2021-03-01,AUD,1.2917945739649879
2021-03-01,CAD,1.2672363726872977
2021-03-01,CLP,725.89
2021-03-01,EUR,0.8296689620841284
2021-03-01,GBP,0.7181448602007798
2021-03-01,INR,73.56384302663237
2021-03-01,MXN,20.768024558201276
2021-03-01,SGD,1.330954948975359
2021-03-01,USD,1.0
2021-04-01,AUD,1.319598161076111
2021-04-01,CAD,1.2588966456666097
2021-04-01,CLP,708.08
2021-04-01,EUR,0.8513536523071683
2021-04-01,GBP,0.725310744083092
2021-04-01,INR,73.41009705431637
2021-04-01,MXN,20.329644134173336
2021-04-01,SGD,1.3452239060105566
2021-04-01,USD,1.0
2021-05-01,AUD,1.2896043701373945
2021-05-01,CAD,1.2277768581360702
2021-05-01,CLP,713.07
2021-05-01,EUR,0.8276775368316505
2021-05-01,GBP,0.7189455388180765
2021-05-01,INR,74.06017215692766
2021-05-01,MXN,20.058351266346634
2021-05-01,SGD,1.328008607846383
2021-05-01,USD,1.0
2021-06-01,AUD,1.2918609406952966
2021-06-01,CAD,1.2031083844580779
2021-06-01,CLP,728.7
2021-06-01,EUR,0.8179959100204499
2021-06-01,GBP,0.7058077709611452
2021-06-01,INR,72.8961145194274
2021-06-01,MXN,19.900122699386504
2021-06-01,SGD,1.3226175869120655
2021-06-01,USD,1.0
2021-07-01,AUD,1.3325479636486033
2021-07-01,CAD,1.2367889599461461
2021-07-01,CLP,748.0
2021-07-01,EUR,0.841467519353753
2021-07-01,GBP,0.7239397509256144
2021-07-01,INR,74.51952204644901
2021-07-01,MXN,19.9654998317065
2021-07-01,SGD,1.3454224166947157
2021-07-01,USD,1.0
2021-08-01,AUD,1.3567403918930283
2021-08-01,CAD,1.2438819275081996
2021-08-01,CLP,770.0
2021-08-01,EUR,0.8409721638213775
2021-08-01,GBP,0.7160037002775208
2021-08-01,INR,74.33697754604322
2021-08-01,MXN,19.870237995122363
2021-08-01,SGD,1.3531242115885964
2021-08-01,USD,1.0
